Name,AlternateName,logo (URL angeben),Description,startDate,URL,"sameAs (Twitter, FB etc.)",license(s),openness,Email,Language(s),Audience,Topic,Provider_Id,Provider_Name,Provider_AlternateName,Provider_logo,Provider_Description,Provider_URL,"Provider_sameAs (Twitter, FB etc.)",Provider_AddressCountry,Provider_AddressCity,Provider_Region,Provider_StreetAddress,Provider_PostalCode,Provider_Email,Tag,COMMENTS:,Provider2_Name,Provider2_AlternateName,Provider2_logo,Provider2_Description,Provider2_URL,"Provider2_sameAs (Twitter, FB etc.)",Provider2_AddressCountry,Provider2_AddressCity,Provider2_Region,Provider2_StreetAddress,Provider2_PostalCode,Provider2_Email,Tag
Consortium for the Advancement of Undergraduate Statistics Education,CAUSE,https://www.causeweb.org/sites/default/files/images/banner.png,"Arising from a strategic initiative of the American Statistical Association, CAUSE is a national organization whose mission is to support and advance undergraduate statistics education, in four target areas: resources, professional development, outreach, and research. ",, http://www.causeweb.org,https://www.facebook.com/groups/428798650521041,CC BY-NC-SA,,dkp13@psu.edu,en,"0, 1, 2, 3, 4, 5, 6","02, 04, 01, 07, 09, 06, 05, 104, 03",,National Science Foundation,NSF,http://www.nsf.gov/news/mmg/media/images/nsf_logo_f_272f4777-f5c4-4e49-8a2e-468e89b64b61_f.jpg,"The National Science Foundation (NSF) is an independent federal agency created by Congress in 1950 ""to promote the progress of science; to advance the national health, prosperity, and welfare; to secure the national defense…"" With an annual budget of $7.3 billion (FY 2015), we are the funding source for approximately 24 percent of all federally supported basic research conducted by America's colleges and universities. In many fields such as mathematics, computer science and the social sciences, NSF is the major source of federal backing.",http://www.nsf.gov/,"https://www.facebook.com/US.NSF
https://twitter.com/NSF
http://www.linkedin.com/company/national-science-foundation
https://www.youtube.com/user/VideosatNSF
https://www.flickr.com/photos/nsf_beta/
http://nationalsciencefoundation.tumblr.com/",US,Arlington,VA,4201 Wilson Boulevard,22230,,,,,,,,,,,,,,,,
Culturally Authentic Pictorial Lexicon,CAPL,https://upload.wikimedia.org/wikipedia/en/3/3b/CAPL_logo.png,The CAPL project seeks to explore this idea through a collection of authentic photographs arranged by language and context.,2003, http://capl.washjeff.edu,https://www.facebook.com/pages/CAPL-Culturally-Authentic-Pictorial-Lexicon/117591790865,"CC BY-NC-SA
All images found on this site are licensed under a Creative Commons 3.0 US License.  If you use images from this site, please cite capl@washjeff.edu as your source.",,capl@washjeff.edu,en,"2, 3, 4, 5, 6 informal learning","0231, 0231-en. 0231-uk",,U.S. Department of Education,ED,http://www.ed.gov/edblogs/wp-content/uploads/2014/07/ed-icon.gif,Our mission is to promote student achievement and preparation for global competitiveness by fostering educational excellence and ensuring equal access.,http://www.ed.gov/,"https://www.facebook.com/SecretaryArneDuncan
https://twitter.com/usedgov
https://www.youtube.com/user/usedgov
https://plus.google.com/+usdepartmentofeducation/posts",US,Washington D.C.,DC,"400 Maryland Avenue, SW",20202,,,,,,,,,,,,,,,,
Curriki,,http://ionutmaxim.com/site/wp-content/uploads/2014/10/curriki-logo1.jpg,"Curriki is an online, free, open education service. Curriki is structured as a nonprofit organization to provide open educational resources primarily in support of K-12 education. Curricula and instructional materials are available at the Curriki website to teachers, professional educators, students, lifelong learners, and parents.",2004, http://welcome.curriki.org/,"https://twitter.com/curriki
https://www.facebook.com/pages/Curriki/134427817464
https://www.pinterest.com/curriki/
https://www.youtube.com/watch?v=3bC5PlsTgKw","CC BY, CC BY-NC, CC BY-NC-ND, CC BY-NC-SA",,webmaster@curriki.org,en,"0, 1, 2, 3, 4, 5,  6","08, 02, 0231-fat, 01, 07, 00, 091, 06, 05, 10, 03",,Curriki,,,,,,US,Cupertino,CA,"20660 Stevens Creek Boulevard, #332",95014,webmaster@curriki.org,Course planning for teachers,"Curriki is a non-profit 501(c)(3) corporation, so they seem to not have a Provider, address of Curriki weitten down.",,,,,,,,,,,,,
"Desarrolla, Aprende y Reutiliza",DAR,http://catedra.ruv.itesm.mx/image/logodar2.png,"El programa DAR (Desarrolla, Aprende y Reutiliza) es una iniciativa que aborda los desafíos inherentes de la formación de investigadores educativos. Busca apoyar la enseñanza e investigación mediante la creación de acceso a una colección creciente de acceso abierto de recursos y materiales digitales producidos y desarrollados por la comunidad académica.",, http://catedra.ruv.itesm.mx/,,"CC BY, CC BY-NC-SA, CC BY-NC-ND",,,es,Teacher's Guide,"04, 01, 07, 05, 102, 103",,"Tecnológico de Monterrey, Escuela de Graduados en Educación",EGE,http://www.ruv.itesm.mx/convenio/catedra/naturaleza/imagenes/banner1.jpg,"The Monterrey Institute of Technology and Higher Education (in Spanish: Instituto Tecnológico y de Estudios Superiores de Monterrey, ITESM) commonly shortened as Monterrey Institute of Technology (Tecnológico de Monterrey) or Monterrey Tech (Tec de Monterrey) is one of the largest private, nonsectarian and coeducational multi-campus universities in Latin America with over 90,000 students at the high school, undergraduate, and postgraduate levels.",http://www.tecvirtual.mx/portal/promocion/qs/eventos_ege/investigacion/,"https://twitter.com/TecdeMonterrey
https://www.facebook.com/TecdeMonterrey
https://plus.google.com/u/0/+TecdeMonterrey/videos
https://www.youtube.com/user/ITESMedu
http://www.linkedin.com/company/itesm",MX,Monterrey,Nuevo León,Ave. Eugenio Garza Sada 2501 Sur Col. Tecnológico ,C.P. 64849,,Course planning for teachers,"Muchas veces solamente es posible encontrar ""sin registros"" (29.09.2015)",,,,,,,,,,,,,
Digiref,,https://digitalkompetens.files.wordpress.com/2008/03/digiref.jpg,"I Digiref hittar du alltså digitala lärobjekt, multimedia för undervisning som bl a lärare skapat och önskar dela med sig av. Här finns även digitalt referensmaterial och undervisningsmoduler från bibliotek kring informationssökning för studier/forskning. ",2007, http://www.digiref.se/index.php,,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC-ND",,webmaster@digiref.se,sv,,"0222, 0311, 0223, 021, 0232, 0541, 0912, 1031, 0215, 05, 0221",,,,,,,,SE,,,,,,,"E-Mail was sent to clarify the provider and audience (29.09.2015), Mailing address is apparently wrong -> but could not find another one",,,,,,,,,,,,,
Digital Library for Earth System Education,DLESE,http://climate.nasa.gov/images/logo2.jpg,"The Digital Library for Earth System Education (DLESE) is a distributed community effort involving educators, students, and scientists working together to improve the quality, quantity, and efficiency of teaching and learning about the Earth system at all levels.
",, http://www.dlese.org/library/,,"The user is granted the right to use the Site for non-commercial, non-profit  research, or educational purposes only, without any fee or cost. In the event you breach these Terms of Use or any Material-specific terms or you infringe any copyrights, UCAR may pursue any and all legal and equitable remedies available to it, although UCAR is under no legal obligation to do so.",,support@dlese.org,en,"1, 2, 3, 4, 5, 6","05, 071, 0541",,National Center for Atmospheric Research Library,NCAR/UCAR Library,https://www2.ucar.edu/sites/default/files/images/logos/logo-ncar-spellout-305.jpg,"The NCAR Library serves and supports Atmospheric, Solar and Earth scientists and their research at NCAR and throughout the broader UCAR community.",https://library.ucar.edu/,"https://www.facebook.com/AtmosNews
https://twitter.com/atmosnews
https://www.youtube.com/user/ncarucar",US,Boulder,CO,3450 Mitchell Lane,80301,ipinfo@ucar.edu,,,,,,,,,,,,,,,
Economics Network Online Learning and Teaching Materials,EN,http://www.economicsnetwork.ac.uk/nav/logo2013.png,"

The EN provide publications, events, and other resources to support university teachers of economics throughout the UK and worldwide.
",2012, http://www.economicsnetwork.ac.uk/links/othertl.htm,https://twitter.com/economics_net,"Standard Youtube Licence
Copyright for papers included in the Discussion Papers remains with the authors, who are free to publish their papers elsewhere at any time.

Except where stated, resources on this page are available under a Creative Commons by-nc licence.",,econ-network@bristol.ac.uk,en,"5, 6","0311, 054, 05",,University of Bristol,,http://www.bristol.ac.uk/media-library/sites/public-relations/images/logos/logo-screen.gif,"The School of Economics, Finance and Management at the University of Bristol is made up of three distinct departments, Economics, Accounting and Finance, and Management.  Each of these departments produces world leading research and contributing towards teaching at both undergraduate and postgraduate levels.

The University's mission is ""to pursue and share knowledge and understanding, both for their own sake and to help individuals and society fulfil their potential;"". Teaching is a core aspect of the statement and we take that very seriously. For all our staff excellence in teaching is a key element of their role.  Courses are given by leading researchers who incorporate the very latest ideas into their teaching, and by our dedicated teaching staff. The result is a lively and challenging educational environment.",http://www.bristol.ac.uk/,"https://twitter.com/bristoluni
https://www.facebook.com/bristoluniversity
https://www.youtube.com/user/UniversityOfBristol
https://www.linkedin.com/edu/school?id=12689
https://www.flickr.com/photos/bristoluniversity",GB,Bristol,South West England,"

Senate House, Tyndall Avenue",BS8 1TH,econ-network@bristol.ac.uk,Course planning for teachers,,,,,,,,,,,,,,
Edu Fi,,,"Edu.fi is a Board of Education hosted web service to support teaching and learning and their development. This Site's specific objective is to support ICT educational use of ICT.
",, http://www.edu.fi,https://www.youtube.com/user/OpetushallitusEDUfi,,,edufi@oph.fi,"fi, sv","1, 2, 3, 4","06, 0613, 0232, 023, 054, 05, 0222, 091, 0215, 021, 0312",,Finnish National Board of Education,FNBE,http://lsl.eun.org/image/image_gallery?uuid=32ccc367-5b41-4fa5-8765-c7368c90c407&groupId=44572&t=1352471932252,"Finnish National Board of Education is a national development agency. FNBE is responsible for the development of pre-primary, basic, general upper secondary, vocational upper secondary and adult education. FNBE is subordinate to the Ministry of Education and Culture and its tasks and organisation are set in the legislation.",http://www.oph.fi/english,"https://www.facebook.com/opetushallitus
https://twitter.com/Opetushallitus
https://www.youtube.com/user/Opetushallitus",FI,Helsinki,Uusimaa,Hakaniemenranta 6,00531,opetushallitus@oph.fi,Course planning for teachers,"Tried to contact via E-Mail (to ask about their licences), but the adresses do not seem to work! Last check 29.09.2015; E-Mail was send to Provider on 05.10.2015",,,,,,,,,,,,,
Educar Chile,,http://crucigramasinteractivos.cl/wp-content/uploads/2014/04/educarchile_logo.jpg,"Los contenidos que periódicamente se publican en educarchile tiene por finalidad brindar al usuario todo tipo de información relacionada con la educación, incluyendo entre otras cosas, artículos, noticias, planificaciones de clases, publicaciones de interés y otros contenidos que estén relacionados con la educación en todos sus niveles.
Apoya a las clases de los docentes, ofrece materiales para los estudiantes y apoya a las tareas.",2013, http://www.educarchile.cl,"https://www.facebook.com/portal.educarchile
https://twitter.com/educarchile
https://plus.google.com/+educarchile/posts
https://www.youtube.com/user/educarchile
https://www.pinterest.com/educarchile/","El usuario se obliga a:
1 Usar los contenidos de forma diligente, correcta y lícita.
2 No reproducir, copiar, distribuir, transformar o modificar, poner a disposición, arrendar o comunicar al público los contenidos a menos que se cuente con la autorización expresa del titular de los correspondientes derechos.
3 No suprimir, eludir, o manipular el ""copyright"" y demás datos identificatorios de los derechos de educarchile o de sus titulares incorporados a los contenidos, así como los dispositivos técnicos de protección, los identificadores digitales o cualesquiera sean los mecanismos de información que pudieran contener los contenidos o sobre la gestión de derechos.
4 No emplear los contenidos y, en particular, la información de cualquier otra clase obtenida a través de educarchile o de los servicios, para emitir publicidad de cualquier tipo y bajo cualquier formato, en Chile o en el extranjero.
educarchile no será responsable por el uso indebido que hagan los usuarios del contenido de educarchile.
El usuario acepta que la publicidad de terceros que aparezca en la pantalla es parte inseparable del sitio de educarchile.
educarchile no garantiza la veracidad de dicha publicidad y no será responsable por la correspondencia o contratos que el usuario celebre con terceros. ",,,es,"0, 1, 2, 3, 4, 5, 6",,,Ministerio de Educación Chile,mineduc,https://upload.wikimedia.org/wikipedia/commons/4/4c/Logo_del_Ministerio_de_Educaci%C3%B3n_%28Chile%29.jpg,"El Ministerio de Educación de Chile es el órgano rector del Estado encargado de fomentar el desarrollo de la educación en todos sus niveles, a través de una educación humanista democrática, de excelencia y abierta al mundo en todos los niveles de enseñanza; estimular la investigación científica y tecnológica y la creación artística, y la protección e incremento del patrimonio cultural de la Nación. Del mismo modo, esta institución es la llamada a velar por los derechos de todos los estudiantes, tanto de establecimientos públicos como privados.",http://www.mineduc.cl/,"https://www.facebook.com/mineduc
https://twitter.com/mineduc
https://www.flickr.com/photos/mineduc
https://www.youtube.com/user/mineducchile
https://instagram.com/escuelasdechile",CL,Santiago,Región Metropolitana,Av Libertador Bernardo O'Higgins 1371,,,,,,,,,,,,,,,,,
Eduteka,,http://www.eduteka.org/images/logoEDTK30.png,"
EDUTEKA (www.eduteka.org) is a free Spanish-language web portal for educators which is updated every month and run by the Gabriel Piedrahita Uribe Foundation (Fundación Gabriel Piedrahita Uribe (FGPU), in Spanish) based in Cali, Colombia.",2001, http://www.eduteka.org/,"https://www.facebook.com/Eduteka-119446671447928/timeline/
https://twitter.com/eduteka
https://www.youtube.com/user/edutekaoficials","La FGPU publica materiales en Eduteka únicamente con propósitos de formación, información y orientación. Estos contenidos (sin perjuicio de los derechos de autor de cada uno de los respectivos autores) se ofrecen bajo dos licencias “Creative Commons” (versión 3.0).
Licencia 1: CC BY - NC - ND
Licencia 2: CC BY - NC - SA
Los usuarios están en libertad de copiar, distribuir y comunicar públicamente los contenidos de este sitio bajo las siguientes condiciones:
Deben reconocer los créditos tanto a Eduteka como a los autores y a las fuentes originales de los materiales y no pueden utilizar los contenidos de Eduteka con fines comerciales.
Además, cuando se trate de recursos propios de Eduteka  (Licencia 2), pueden alterar, transformar o generar obras derivadas a partir de dichos recursos. Los documentos que se publican bajo la Licencia 1, no pueden ser objeto de alteración, transformación o generación de obras derivadas.
Para hacer uso de los contenidos de Eduteka bajo condiciones diferentes a las anteriores, se debe solicitar permiso expreso y por escrito de la Fundación Gabriel Piedrahita Uribe.
",,directora@efuteka.org,es,"1, 2, 3","021, 0611, 05, 07, 03, 0221, 022, 06, 023, 0541, 0111, 1014,",,Gabriel Piedrahita Uribe Foundation,FGPU,http://www.eduteka.org/fgpu/wp-content/uploads/2011/09/Logo_Fundacion_text.png,"The Foundation is a nonprofit organization dedicated to improving the quality of primary and secondary education in Colombia and Latin America through the use of Information and Communication Technologies (ICTs). The Foundation is based in Cali, and is inspired by the life of Gabriel Piedrahita, who tragically lost his life in an airplane crash in 1995, at the age of 22. 
The Gabriel Piedrahita Foundation believes that in the Knowledge Society of the twenty-first century, the educational system must endow youths with a new set of capabilities, many of them related to the rapid development of ICTs. It also believes that these ICT can revolutionize learning processes, through access to the abundant free material available on the World Wide Web, and through the enrichment of learning environments in schools. Based on these premises, The Gabriel Piedrahita Foundation promotes the improvement of primary and secondary education for disvantaged and underserved children in Colombia and spanish speaking countries through the effective integration and use of Information and Communication Technologies in the curriculum.",,,CO,Cali,Valle del Cauca,Carrera 100 16-20 ,,,Course planning for teachers,"Wrong picture of CC licence (here ""Licencia 1"" is CC BY - NC - ND and not CC BY - NC - SA) http://www.eduteka.org/quienes.php3#contacto
",,,,,,,,,,,,,
